institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
Central Bank of India,Self-employed,725,712,CIBIL 700–749,8.25%,SBI,8.10%,Bank of Baroda,8.25%,Bank of India,8.75%
Central Bank of India,Salaried,775,772,CIBIL 750–799,7.35%,Bank of Baroda,7.40%,SBI,7.40%,Bank of India,7.45%
Central Bank of India,Self-employed,775,772,CIBIL 750–799,7.35%,Bank of Baroda,7.40%,Bank of India,7.45%,SBI,7.45%
Central Bank of India,Salaried,825,815,CIBIL 800+,7.15%,Bank of India,7.20%,Canara Bank,7.20%,Union Bank of India,7.20%
Central Bank of India,Self-employed,825,815,CIBIL 800+,7.15%,Bank of India,7.20%,Bank of Baroda,7.25%,Canara Bank,7.25%
Central Bank of India,Salaried,790,790,CIBIL 750–799,7.20%,Bank of Baroda,7.30%,Bank of India,7.30%,Canara Bank,7.30%
Central Bank of India,Self-employed,790,790,CIBIL 750–799,7.25%,Bank of Baroda,7.30%,Bank of India,7.30%,Canara Bank,7.35%
Central Bank of India,Salaried,850,850,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
Central Bank of India,Self-employed,850,850,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
ICICI Bank,Salaried,600,600,CIBIL 600–649,9.05%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
ICICI Bank,Self-employed,600,600,CIBIL 600–649,9.20%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
ICICI Bank,Salaried,625,612,CIBIL 600–649,8.95%,SBI,8.60%,HDFC Bank,8.65%,Axis Bank,8.80%
ICICI Bank,Self-employed,625,612,CIBIL 600–649,9.10%,HDFC Bank,8.80%,SBI,8.80%,Axis Bank,8.95%
ICICI Bank,Salaried,675,676,CIBIL below 700,8.55%,HDFC Bank,8.25%,SBI,8.25%,Axis Bank,8.40%
ICICI Bank,Self-employed,675,676,CIBIL below 700,8.70%,SBI,8.35%,HDFC Bank,8.40%,Axis Bank,8.55%
ICICI Bank,Salaried,725,712,CIBIL 700–749,8.25%,HDFC Bank,7.95%,SBI,8.00%,Axis Bank,8.10%
ICICI Bank,Self-employed,725,712,CIBIL 700–749,8.40%,HDFC Bank,8.10%,SBI,8.10%,Axis Bank,8.25%
ICICI Bank,Salaried,775,772,CIBIL 750–799,7.60%,HDFC Bank,7.30%,Central Bank of India,7.35%,Axis Bank,7.45%
ICICI Bank,Self-employed,775,772,CIBIL 750–799,7.75%,Central Bank of India,7.35%,HDFC Bank,7.45%,Axis Bank,7.60%
ICICI Bank,Salaried,825,815,CIBIL 800+,7.50%,Central Bank of India,7.15%,HDFC Bank,7.20%,Axis Bank,7.35%
ICICI Bank,Self-employed,825,815,CIBIL 800+,7.65%,Central Bank of India,7.15%,HDFC Bank,7.35%,Axis Bank,7.50%
ICICI Bank,Salaried,790,790,CIBIL 750–799,7.55%,Central Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
ICICI Bank,Self-employed,790,790,CIBIL 750–799,7.70%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
ICICI Bank,Salaried,850,850,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
ICICI Bank,Self-employed,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
HDFC Bank,Salaried,600,600,CIBIL 600–649,8.75%,SBI,8.70%,Axis Bank,8.90%,ICICI Bank,9.05%
HDFC Bank,Self-employed,600,600,CIBIL 600–649,8.90%,SBI,8.90%,Axis Bank,9.05%,ICICI Bank,9.20%
HDFC Bank,Salaried,625,612,CIBIL 600–649,8.65%,SBI,8.60%,Axis Bank,8.80%,ICICI Bank,8.95%
HDFC Bank,Self-employed,625,612,CIBIL 600–649,8.80%,SBI,8.80%,Axis Bank,8.95%,ICICI Bank,9.10%
HDFC Bank,Salaried,675,676,CIBIL below 700,8.25%,SBI,8.25%,Axis Bank,8.40%,ICICI Bank,8.55%
HDFC Bank,Self-employed,675,676,CIBIL below 700,8.40%,SBI,8.35%,Axis Bank,8.55%,ICICI Bank,8.70%
HDFC Bank,Salaried,725,712,CIBIL 700–749,7.95%,SBI,8.00%,Axis Bank,8.10%,ICICI Bank,8.25%
HDFC Bank,Self-employed,725,712,CIBIL 700–749,8.10%,SBI,8.10%,Axis Bank,8.25%,ICICI Bank,8.40%
HDFC Bank,Salaried,775,772,CIBIL 750–799,7.30%,Central Bank of India,7.35%,Axis Bank,7.45%,ICICI Bank,7.60%
HDFC Bank,Self-employed,775,772,CIBIL 750–799,7.45%,Central Bank of India,7.35%,Axis Bank,7.60%,ICICI Bank,7.75%
HDFC Bank,Salaried,825,815,CIBIL 800+,7.20%,Central Bank of India,7.15%,Axis Bank,7.35%,ICICI Bank,7.50%
HDFC Bank,Self-employed,825,815,CIBIL 800+,7.35%,Central Bank of India,7.15%,Axis Bank,7.50%,ICICI Bank,7.65%
HDFC Bank,Salaried,790,790,CIBIL 750–799,7.25%,Central Bank of India,7.20%,Axis Bank,7.40%,ICICI Bank,7.55%
HDFC Bank,Self-employed,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.25%,Axis Bank,7.55%,ICICI Bank,7.70%
HDFC Bank,Salaried,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Axis Bank,7.30%,ICICI Bank,7.45%
HDFC Bank,Self-employed,850,850,CIBIL 800+,7.30%,Bank of India,7.10%,Axis Bank,7.45%,ICICI Bank,7.60%
Axis Bank,Salaried,600,600,CIBIL 600–649,8.90%,SBI,8.70%,HDFC Bank,8.75%,ICICI Bank,9.05%
Axis Bank,Self-employed,600,600,CIBIL 600–649,9.05%,HDFC Bank,8.90%,SBI,8.90%,ICICI Bank,9.20%
Axis Bank,Salaried,625,612,CIBIL 600–649,8.80%,SBI,8.60%,HDFC Bank,8.65%,ICICI Bank,8.95%
Axis Bank,Self-employed,625,612,CIBIL 600–649,8.95%,HDFC Bank,8.80%,SBI,8.80%,ICICI Bank,9.10%
Axis Bank,Salaried,675,676,CIBIL below 700,8.40%,HDFC Bank,8.25%,SBI,8.25%,ICICI Bank,8.55%
Axis Bank,Self-employed,675,676,CIBIL below 700,8.55%,SBI,8.35%,HDFC Bank,8.40%,ICICI Bank,8.70%
Axis Bank,Salaried,725,712,CIBIL 700–749,8.10%,HDFC Bank,7.95%,SBI,8.00%,ICICI Bank,8.25%
Axis Bank,Self-employed,725,712,CIBIL 700–749,8.25%,HDFC Bank,8.10%,SBI,8.10%,ICICI Bank,8.40%
Axis Bank,Salaried,775,772,CIBIL 750–799,7.45%,HDFC Bank,7.30%,Central Bank of India,7.35%,ICICI Bank,7.60%
Axis Bank,Self-employed,775,772,CIBIL 750–799,7.60%,Central Bank of India,7.35%,HDFC Bank,7.45%,ICICI Bank,7.75%
Axis Bank,Salaried,825,815,CIBIL 800+,7.35%,Central Bank of India,7.15%,HDFC Bank,7.20%,ICICI Bank,7.50%
Axis Bank,Self-employed,825,815,CIBIL 800+,7.50%,Central Bank of India,7.15%,HDFC Bank,7.35%,ICICI Bank,7.65%
Axis Bank,Salaried,790,790,CIBIL 750–799,7.40%,Central Bank of India,7.20%,HDFC Bank,7.25%,ICICI Bank,7.55%
Axis Bank,Self-employed,790,790,CIBIL 750–799,7.55%,Central Bank of India,7.25%,HDFC Bank,7.40%,ICICI Bank,7.70%
Axis Bank,Salaried,850,850,CIBIL 800+,7.30%,Bank of India,7.10%,HDFC Bank,7.15%,ICICI Bank,7.45%
Axis Bank,Self-employed,850,850,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.30%,ICICI Bank,7.60%
Kotak Mahindra Bank,Salaried,600,600,CIBIL 600–649,9.25%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
Kotak Mahindra Bank,Self-employed,600,600,CIBIL 600–649,9.50%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
Kotak Mahindra Bank,Salaried,625,612,CIBIL 600–649,9.15%,SBI,8.60%,HDFC Bank,8.65%,Axis Bank,8.80%
Kotak Mahindra Bank,Self-employed,625,612,CIBIL 600–649,9.40%,HDFC Bank,8.80%,SBI,8.80%,Axis Bank,8.95%
Kotak Mahindra Bank,Salaried,675,676,CIBIL below 700,8.70%,HDFC Bank,8.25%,SBI,8.25%,Axis Bank,8.40%
Kotak Mahindra Bank,Self-employed,675,676,CIBIL below 700,8.90%,SBI,8.35%,HDFC Bank,8.40%,Axis Bank,8.55%
Kotak Mahindra Bank,Salaried,725,712,CIBIL 700–749,8.45%,HDFC Bank,7.95%,SBI,8.00%,Axis Bank,8.10%
Kotak Mahindra Bank,Self-employed,725,712,CIBIL 700–749,8.60%,HDFC Bank,8.10%,SBI,8.10%,Axis Bank,8.25%
Kotak Mahindra Bank,Salaried,775,772,CIBIL 750–799,7.80%,HDFC Bank,7.30%,Central Bank of India,7.35%,Axis Bank,7.45%
Kotak Mahindra Bank,Self-employed,775,772,CIBIL 750–799,7.80%,Central Bank of India,7.35%,HDFC Bank,7.45%,Axis Bank,7.60%
Kotak Mahindra Bank,Salaried,825,815,CIBIL 800+,7.65%,Central Bank of India,7.15%,HDFC Bank,7.20%,Axis Bank,7.35%
Kotak Mahindra Bank,Self-employed,825,815,CIBIL 800+,7.65%,Central Bank of India,7.15%,HDFC Bank,7.35%,Axis Bank,7.50%
Kotak Mahindra Bank,Salaried,790,790,CIBIL 750–799,7.70%,Central Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
Kotak Mahindra Bank,Self-employed,790,790,CIBIL 750–799,7.70%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
Kotak Mahindra Bank,Salaried,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Kotak Mahindra Bank,Self-employed,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
IDFC First Bank,Salaried,600,600,CIBIL 600–649,10.00%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
IDFC First Bank,Self-employed,600,600,CIBIL 600–649,10.25%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
IDFC First Bank,Salaried,625,612,CIBIL 600–649,9.85%,SBI,8.60%,HDFC Bank,8.65%,Axis Bank,8.80%
IDFC First Bank,Self-employed,625,612,CIBIL 600–649,10.10%,HDFC Bank,8.80%,SBI,8.80%,Axis Bank,8.95%
IDFC First Bank,Salaried,675,676,CIBIL below 700,9.30%,HDFC Bank,8.25%,SBI,8.25%,Axis Bank,8.40%
IDFC First Bank,Self-employed,675,676,CIBIL below 700,9.50%,SBI,8.35%,HDFC Bank,8.40%,Axis Bank,8.55%
IDFC First Bank,Salaried,725,712,CIBIL 700–749,8.90%,HDFC Bank,7.95%,SBI,8.00%,Axis Bank,8.10%
IDFC First Bank,Self-employed,725,712,CIBIL 700–749,9.10%,HDFC Bank,8.10%,SBI,8.10%,Axis Bank,8.25%
IDFC First Bank,Salaried,775,772,CIBIL 750–799,8.00%,HDFC Bank,7.30%,Central Bank of India,7.35%,Axis Bank,7.45%
IDFC First Bank,Self-employed,775,772,CIBIL 750–799,8.15%,Central Bank of India,7.35%,HDFC Bank,7.45%,Axis Bank,7.60%
IDFC First Bank,Salaried,825,815,CIBIL 800+,7.80%,Central Bank of India,7.15%,HDFC Bank,7.20%,Axis Bank,7.35%
IDFC First Bank,Self-employed,825,815,CIBIL 800+,7.95%,Central Bank of India,7.15%,HDFC Bank,7.35%,Axis Bank,7.50%
IDFC First Bank,Salaried,790,790,CIBIL 750–799,7.90%,Central Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
IDFC First Bank,Self-employed,790,790,CIBIL 750–799,8.05%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
IDFC First Bank,Salaried,850,850,CIBIL 800+,7.75%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
IDFC First Bank,Self-employed,850,850,CIBIL 800+,7.90%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
Yes Bank,Salaried,600,600,CIBIL 600–649,10.60%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
Yes Bank,Self-employed,600,600,CIBIL 600–649,10.75%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
Yes Bank,Salaried,625,612,CIBIL 600–649,10.50%,SBI,8.60%,HDFC Bank,8.65%,Axis Bank,8.80%
Yes Bank,Self-employed,625,612,CIBIL 600–649,10.65%,HDFC Bank,8.80%,SBI,8.80%,Axis Bank,8.95%
Yes Bank,Salaried,675,676,CIBIL below 700,10.10%,HDFC Bank,8.25%,SBI,8.25%,Axis Bank,8.40%
Yes Bank,Self-employed,675,676,CIBIL below 700,10.25%,SBI,8.35%,HDFC Bank,8.40%,Axis Bank,8.55%
Yes Bank,Salaried,725,712,CIBIL 700–749,9.80%,HDFC Bank,7.95%,SBI,8.00%,Axis Bank,8.10%
Yes Bank,Self-employed,725,712,CIBIL 700–749,9.95%,HDFC Bank,8.10%,SBI,8.10%,Axis Bank,8.25%
Yes Bank,Salaried,775,772,CIBIL 750–799,9.15%,HDFC Bank,7.30%,Central Bank of India,7.35%,Axis Bank,7.45%
Yes Bank,Self-employed,775,772,CIBIL 750–799,9.30%,Central Bank of India,7.35%,HDFC Bank,7.45%,Axis Bank,7.60%
Yes Bank,Salaried,825,815,CIBIL 800+,9.05%,Central Bank of India,7.15%,HDFC Bank,7.20%,Axis Bank,7.35%
Yes Bank,Self-employed,825,815,CIBIL 800+,9.20%,Central Bank of India,7.15%,HDFC Bank,7.35%,Axis Bank,7.50%
Yes Bank,Salaried,790,790,CIBIL 750–799,9.10%,Central Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
Yes Bank,Self-employed,790,790,CIBIL 750–799,9.25%,Central Bank of India,7.25%,HDFC Bank,7.40%,Axis Bank,7.55%
Yes Bank,Salaried,850,850,CIBIL 800+,9.00%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Yes Bank,Self-employed,850,850,CIBIL 800+,9.15%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
RBL Bank,Salaried,600,600,CIBIL 600–649,9.80%,SBI,8.70%,HDFC Bank,8.75%,Axis Bank,8.90%
RBL Bank,Self-employed,600,600,CIBIL 600–649,9.95%,HDFC Bank,8.90%,SBI,8.90%,Axis Bank,9.05%
RBL Bank,Salaried,625,612,CIBIL 600–649,9.70%,SBI,8.60%,HDFC Bank,8.65%,Axis Bank,8.80%
RBL Bank,Self-employed,625,612,CIBIL 600–649,9.85%,HDFC Bank,8.80%,SBI,8.80%,Axis Bank,8.95%
RBL Bank,Salaried,675,676,CIBIL below 700,9.30%,HDFC Bank,8.25%,SBI,8.25%,Axis Bank,8.40%
RBL Bank,Self-employed,675,676,CIBIL below 700,9.45%,SBI,8.35%,HDFC Bank,8.40%,Axis Bank,8.55%
RBL Bank,Salaried,725,712,CIBIL 700–749,9.00%,HDFC Bank,7.95%,SBI,8.00%,Axis Bank,8.10%
RBL Bank,Self-employed,725,712,CIBIL 700–749,9.15%,HDFC Bank,8.10%,SBI,8.10%,Axis Bank,8.25%
RBL Bank,Salaried,775,772,CIBIL 750–799,8.35%,HDFC Bank,7.30%,Central Bank of India,7.35%,Axis Bank,7.45%
RBL Bank,Self-employed,775,772,CIBIL 750–799,8.50%,Central Bank of India,7.35%,HDFC Bank,7.45%,Axis Bank,7.60%
RBL Bank,Salaried,825,815,CIBIL 800+,8.25%,Central Bank of India,7.15%,HDFC Bank,7.20%,Axis Bank,7.35%
