institution,employment_type,base_cibil_score,cibil_score_used,cibil_band_shown,current_rate,better_lender_1,better_rate_1,better_lender_2,better_rate_2,better_lender_3,better_rate_3
Bank of Baroda,Self-employed,600,600,CIBIL 600–649,9.70%,SBI,9.40%,Central Bank of India,9.80%,Bank of India,10.75%
Bank of Baroda,Salaried,625,610,CIBIL 600–649,9.60%,SBI,9.20%,Central Bank of India,9.65%,Bank of India,10.50%
Bank of Baroda,Self-employed,625,610,CIBIL 600–649,9.70%,SBI,9.40%,Central Bank of India,9.80%,Bank of India,10.75%
Bank of Baroda,Salaried,675,668,CIBIL below 700,8.90%,SBI,8.55%,Central Bank of India,8.85%,Bank of India,9.45%
Bank of Baroda,Self-employed,675,668,CIBIL below 700,9.00%,SBI,8.75%,Central Bank of India,9.00%,Bank of India,9.65%
Bank of Baroda,Salaried,725,723,CIBIL 700–749,8.35%,Central Bank of India,8.10%,SBI,8.20%,Bank of India,8.25%
Bank of Baroda,Self-employed,725,723,CIBIL 700–749,8.45%,Central Bank of India,8.20%,SBI,8.35%,Bank of India,8.40%
Bank of Baroda,Salaried,775,764,CIBIL 750–799,7.95%,Central Bank of India,7.80%,Bank of India,7.85%,Canara Bank,7.85%
Bank of Baroda,Self-employed,775,764,CIBIL 750–799,8.05%,Central Bank of India,7.90%,Bank of India,7.95%,Canara Bank,8.00%
Bank of Baroda,Salaried,825,832,CIBIL 800+,7.30%,Bank of India,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%
Bank of Baroda,Self-employed,825,832,CIBIL 800+,7.30%,Bank of India,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%
Bank of Baroda,Salaried,850,850,CIBIL 800+,7.20%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Bank of Baroda,Self-employed,850,850,CIBIL 800+,7.20%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Canara Bank,Salaried,600,600,CIBIL 600–649,10.50%,SBI,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%
Canara Bank,Self-employed,600,600,CIBIL 600–649,10.75%,SBI,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%
Canara Bank,Salaried,625,610,CIBIL 600–649,10.50%,SBI,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%
Canara Bank,Self-employed,625,610,CIBIL 600–649,10.75%,SBI,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%
Canara Bank,Salaried,675,668,CIBIL below 700,9.45%,SBI,8.55%,Central Bank of India,8.85%,Bank of Baroda,8.90%
Canara Bank,Self-employed,675,668,CIBIL below 700,9.65%,SBI,8.75%,Bank of Baroda,9.00%,Central Bank of India,9.00%
Canara Bank,Salaried,725,723,CIBIL 700–749,8.25%,Central Bank of India,8.10%,SBI,8.20%,Bank of India,8.25%
Canara Bank,Self-employed,725,723,CIBIL 700–749,8.40%,Central Bank of India,8.20%,SBI,8.35%,Bank of India,8.40%
Canara Bank,Salaried,775,764,CIBIL 750–799,7.85%,Central Bank of India,7.80%,Bank of India,7.85%,Union Bank of India,7.85%
Canara Bank,Self-employed,775,764,CIBIL 750–799,8.00%,Central Bank of India,7.90%,Bank of India,7.95%,Union Bank of India,8.00%
Canara Bank,Salaried,825,832,CIBIL 800+,7.25%,Bank of India,7.20%,Central Bank of India,7.20%,Union Bank of India,7.25%
Canara Bank,Self-employed,825,832,CIBIL 800+,7.25%,Bank of India,7.20%,Central Bank of India,7.20%,Union Bank of India,7.25%
Canara Bank,Salaried,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Union Bank of India,7.15%
Canara Bank,Self-employed,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Union Bank of India,7.15%
Union Bank of India,Salaried,600,600,CIBIL 600–649,10.50%,SBI,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%
Union Bank of India,Self-employed,600,600,CIBIL 600–649,10.75%,SBI,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%
Union Bank of India,Salaried,625,610,CIBIL 600–649,10.50%,SBI,9.20%,Bank of Baroda,9.60%,Central Bank of India,9.65%
Union Bank of India,Self-employed,625,610,CIBIL 600–649,10.75%,SBI,9.40%,Bank of Baroda,9.70%,Central Bank of India,9.80%
Union Bank of India,Salaried,675,668,CIBIL below 700,9.45%,SBI,8.55%,Central Bank of India,8.85%,Bank of Baroda,8.90%
Union Bank of India,Self-employed,675,668,CIBIL below 700,9.65%,SBI,8.75%,Bank of Baroda,9.00%,Central Bank of India,9.00%
Union Bank of India,Salaried,725,723,CIBIL 700–749,8.25%,Central Bank of India,8.10%,SBI,8.20%,Bank of India,8.25%
Union Bank of India,Self-employed,725,723,CIBIL 700–749,8.40%,Central Bank of India,8.20%,SBI,8.35%,Bank of India,8.40%
Union Bank of India,Salaried,775,764,CIBIL 750–799,7.85%,Central Bank of India,7.80%,Bank of India,7.85%,Canara Bank,7.85%
Union Bank of India,Self-employed,775,764,CIBIL 750–799,8.00%,Central Bank of India,7.90%,Bank of India,7.95%,Canara Bank,8.00%
Union Bank of India,Salaried,825,832,CIBIL 800+,7.25%,Bank of India,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%
Union Bank of India,Self-employed,825,832,CIBIL 800+,7.25%,Bank of India,7.20%,Central Bank of India,7.20%,Canara Bank,7.25%
Union Bank of India,Salaried,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Union Bank of India,Self-employed,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Central Bank of India,7.10%,Canara Bank,7.15%
Central Bank of India,Salaried,600,600,CIBIL 600–649,9.65%,SBI,9.20%,Bank of Baroda,9.60%,Bank of India,10.50%
Central Bank of India,Self-employed,600,600,CIBIL 600–649,9.80%,SBI,9.40%,Bank of Baroda,9.70%,Bank of India,10.75%
Central Bank of India,Salaried,625,610,CIBIL 600–649,9.65%,SBI,9.20%,Bank of Baroda,9.60%,Bank of India,10.50%
Central Bank of India,Self-employed,625,610,CIBIL 600–649,9.80%,SBI,9.40%,Bank of Baroda,9.70%,Bank of India,10.75%
Central Bank of India,Salaried,675,668,CIBIL below 700,8.85%,SBI,8.55%,Bank of Baroda,8.90%,Bank of India,9.45%
Central Bank of India,Self-employed,675,668,CIBIL below 700,9.00%,SBI,8.75%,Bank of Baroda,9.00%,Bank of India,9.65%
Central Bank of India,Salaried,725,723,CIBIL 700–749,8.10%,SBI,8.20%,Bank of India,8.25%,Canara Bank,8.25%
Central Bank of India,Self-employed,725,723,CIBIL 700–749,8.20%,SBI,8.35%,Bank of India,8.40%,Canara Bank,8.40%
Central Bank of India,Salaried,775,764,CIBIL 750–799,7.80%,Bank of India,7.85%,Canara Bank,7.85%,Union Bank of India,7.85%
Central Bank of India,Self-employed,775,764,CIBIL 750–799,7.90%,Bank of India,7.95%,Canara Bank,8.00%,Union Bank of India,8.00%
Central Bank of India,Salaried,825,832,CIBIL 800+,7.20%,Bank of India,7.20%,Canara Bank,7.25%,Union Bank of India,7.25%
Central Bank of India,Self-employed,825,832,CIBIL 800+,7.20%,Bank of India,7.20%,Canara Bank,7.25%,Union Bank of India,7.25%
Central Bank of India,Salaried,850,850,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
Central Bank of India,Self-employed,850,850,CIBIL 800+,7.10%,Bank of India,7.10%,Canara Bank,7.15%,Union Bank of India,7.15%
ICICI Bank,Salaried,600,600,CIBIL 600–649,9.55%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
ICICI Bank,Self-employed,600,600,CIBIL 600–649,9.70%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
ICICI Bank,Salaried,625,610,CIBIL 600–649,9.55%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
ICICI Bank,Self-employed,625,610,CIBIL 600–649,9.70%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
ICICI Bank,Salaried,675,668,CIBIL below 700,8.90%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
ICICI Bank,Self-employed,675,668,CIBIL below 700,9.05%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
ICICI Bank,Salaried,725,723,CIBIL 700–749,8.45%,Central Bank of India,8.10%,HDFC Bank,8.15%,Kotak Mahindra Bank,8.25%
ICICI Bank,Self-employed,725,723,CIBIL 700–749,8.60%,Central Bank of India,8.20%,HDFC Bank,8.30%,Kotak Mahindra Bank,8.35%
ICICI Bank,Salaried,775,764,CIBIL 750–799,8.15%,Central Bank of India,7.80%,HDFC Bank,7.85%,Kotak Mahindra Bank,7.90%
ICICI Bank,Self-employed,775,764,CIBIL 750–799,8.30%,Central Bank of India,7.90%,HDFC Bank,8.00%,Kotak Mahindra Bank,8.00%
ICICI Bank,Salaried,825,832,CIBIL 800+,7.55%,Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
ICICI Bank,Self-employed,825,832,CIBIL 800+,7.70%,Bank of India,7.20%,HDFC Bank,7.40%,Axis Bank,7.55%
ICICI Bank,Salaried,850,850,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
ICICI Bank,Self-employed,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
HDFC Bank,Salaried,600,600,CIBIL 600–649,9.25%,SBI,9.20%,Axis Bank,9.40%,ICICI Bank,9.55%
HDFC Bank,Self-employed,600,600,CIBIL 600–649,9.40%,SBI,9.40%,Axis Bank,9.55%,ICICI Bank,9.70%
HDFC Bank,Salaried,625,610,CIBIL 600–649,9.25%,SBI,9.20%,Axis Bank,9.40%,ICICI Bank,9.55%
HDFC Bank,Self-employed,625,610,CIBIL 600–649,9.40%,SBI,9.40%,Axis Bank,9.55%,ICICI Bank,9.70%
HDFC Bank,Salaried,675,668,CIBIL below 700,8.60%,SBI,8.55%,Axis Bank,8.75%,ICICI Bank,8.90%
HDFC Bank,Self-employed,675,668,CIBIL below 700,8.75%,SBI,8.75%,Axis Bank,8.90%,ICICI Bank,9.05%
HDFC Bank,Salaried,725,723,CIBIL 700–749,8.15%,Central Bank of India,8.10%,Kotak Mahindra Bank,8.25%,Axis Bank,8.30%
HDFC Bank,Self-employed,725,723,CIBIL 700–749,8.30%,Central Bank of India,8.20%,Kotak Mahindra Bank,8.35%,Axis Bank,8.45%
HDFC Bank,Salaried,775,764,CIBIL 750–799,7.85%,Central Bank of India,7.80%,Kotak Mahindra Bank,7.90%,Axis Bank,8.00%
HDFC Bank,Self-employed,775,764,CIBIL 750–799,8.00%,Central Bank of India,7.90%,Kotak Mahindra Bank,8.00%,Axis Bank,8.15%
HDFC Bank,Salaried,825,832,CIBIL 800+,7.25%,Bank of India,7.20%,Axis Bank,7.40%,ICICI Bank,7.55%
HDFC Bank,Self-employed,825,832,CIBIL 800+,7.40%,Bank of India,7.20%,Axis Bank,7.55%,Kotak Mahindra Bank,7.65%
HDFC Bank,Salaried,850,850,CIBIL 800+,7.15%,Bank of India,7.10%,Axis Bank,7.30%,ICICI Bank,7.45%
HDFC Bank,Self-employed,850,850,CIBIL 800+,7.30%,Bank of India,7.10%,Axis Bank,7.45%,ICICI Bank,7.60%
Axis Bank,Salaried,600,600,CIBIL 600–649,9.40%,SBI,9.20%,HDFC Bank,9.25%,ICICI Bank,9.55%
Axis Bank,Self-employed,600,600,CIBIL 600–649,9.55%,HDFC Bank,9.40%,SBI,9.40%,ICICI Bank,9.70%
Axis Bank,Salaried,625,610,CIBIL 600–649,9.40%,SBI,9.20%,HDFC Bank,9.25%,ICICI Bank,9.55%
Axis Bank,Self-employed,625,610,CIBIL 600–649,9.55%,HDFC Bank,9.40%,SBI,9.40%,ICICI Bank,9.70%
Axis Bank,Salaried,675,668,CIBIL below 700,8.75%,SBI,8.55%,HDFC Bank,8.60%,ICICI Bank,8.90%
Axis Bank,Self-employed,675,668,CIBIL below 700,8.90%,HDFC Bank,8.75%,SBI,8.75%,ICICI Bank,9.05%
Axis Bank,Salaried,725,723,CIBIL 700–749,8.30%,Central Bank of India,8.10%,HDFC Bank,8.15%,Kotak Mahindra Bank,8.25%
Axis Bank,Self-employed,725,723,CIBIL 700–749,8.45%,Central Bank of India,8.20%,HDFC Bank,8.30%,Kotak Mahindra Bank,8.35%
Axis Bank,Salaried,775,764,CIBIL 750–799,8.00%,Central Bank of India,7.80%,HDFC Bank,7.85%,Kotak Mahindra Bank,7.90%
Axis Bank,Self-employed,775,764,CIBIL 750–799,8.15%,Central Bank of India,7.90%,HDFC Bank,8.00%,Kotak Mahindra Bank,8.00%
Axis Bank,Salaried,825,832,CIBIL 800+,7.40%,Bank of India,7.20%,HDFC Bank,7.25%,ICICI Bank,7.55%
Axis Bank,Self-employed,825,832,CIBIL 800+,7.55%,Bank of India,7.20%,HDFC Bank,7.40%,Kotak Mahindra Bank,7.65%
Axis Bank,Salaried,850,850,CIBIL 800+,7.30%,Bank of India,7.10%,HDFC Bank,7.15%,ICICI Bank,7.45%
Axis Bank,Self-employed,850,850,CIBIL 800+,7.45%,Bank of India,7.10%,HDFC Bank,7.30%,ICICI Bank,7.60%
Kotak Mahindra Bank,Salaried,600,600,CIBIL 600–649,9.75%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
Kotak Mahindra Bank,Self-employed,600,600,CIBIL 600–649,10.00%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
Kotak Mahindra Bank,Salaried,625,610,CIBIL 600–649,9.75%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
Kotak Mahindra Bank,Self-employed,625,610,CIBIL 600–649,10.00%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
Kotak Mahindra Bank,Salaried,675,668,CIBIL below 700,8.95%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
Kotak Mahindra Bank,Self-employed,675,668,CIBIL below 700,9.15%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
Kotak Mahindra Bank,Salaried,725,723,CIBIL 700–749,8.25%,Central Bank of India,8.10%,HDFC Bank,8.15%,Axis Bank,8.30%
Kotak Mahindra Bank,Self-employed,725,723,CIBIL 700–749,8.35%,Central Bank of India,8.20%,HDFC Bank,8.30%,Axis Bank,8.45%
Kotak Mahindra Bank,Salaried,775,764,CIBIL 750–799,7.90%,Central Bank of India,7.80%,HDFC Bank,7.85%,Axis Bank,8.00%
Kotak Mahindra Bank,Self-employed,775,764,CIBIL 750–799,8.00%,Central Bank of India,7.90%,HDFC Bank,8.00%,Axis Bank,8.15%
Kotak Mahindra Bank,Salaried,825,832,CIBIL 800+,7.60%,Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
Kotak Mahindra Bank,Self-employed,825,832,CIBIL 800+,7.65%,Bank of India,7.20%,HDFC Bank,7.40%,Axis Bank,7.55%
Kotak Mahindra Bank,Salaried,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Kotak Mahindra Bank,Self-employed,850,850,CIBIL 800+,7.60%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
IDFC First Bank,Salaried,600,600,CIBIL 600–649,10.50%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
IDFC First Bank,Self-employed,600,600,CIBIL 600–649,10.75%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
IDFC First Bank,Salaried,625,610,CIBIL 600–649,10.50%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
IDFC First Bank,Self-employed,625,610,CIBIL 600–649,10.75%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
IDFC First Bank,Salaried,675,668,CIBIL below 700,9.65%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
IDFC First Bank,Self-employed,675,668,CIBIL below 700,9.90%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
IDFC First Bank,Salaried,725,723,CIBIL 700–749,8.70%,Central Bank of India,8.10%,HDFC Bank,8.15%,Kotak Mahindra Bank,8.25%
IDFC First Bank,Self-employed,725,723,CIBIL 700–749,8.90%,Central Bank of India,8.20%,HDFC Bank,8.30%,Kotak Mahindra Bank,8.35%
IDFC First Bank,Salaried,775,764,CIBIL 750–799,8.30%,Central Bank of India,7.80%,HDFC Bank,7.85%,Kotak Mahindra Bank,7.90%
IDFC First Bank,Self-employed,775,764,CIBIL 750–799,8.40%,Central Bank of India,7.90%,HDFC Bank,8.00%,Kotak Mahindra Bank,8.00%
IDFC First Bank,Salaried,825,832,CIBIL 800+,7.85%,Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
IDFC First Bank,Self-employed,825,832,CIBIL 800+,8.00%,Bank of India,7.20%,HDFC Bank,7.40%,Axis Bank,7.55%
IDFC First Bank,Salaried,850,850,CIBIL 800+,7.75%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
IDFC First Bank,Self-employed,850,850,CIBIL 800+,7.90%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
Yes Bank,Salaried,600,600,CIBIL 600–649,11.10%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
Yes Bank,Self-employed,600,600,CIBIL 600–649,11.25%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
Yes Bank,Salaried,625,610,CIBIL 600–649,11.10%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
Yes Bank,Self-employed,625,610,CIBIL 600–649,11.25%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
Yes Bank,Salaried,675,668,CIBIL below 700,10.45%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
Yes Bank,Self-employed,675,668,CIBIL below 700,10.60%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
Yes Bank,Salaried,725,723,CIBIL 700–749,10.00%,Central Bank of India,8.10%,HDFC Bank,8.15%,Kotak Mahindra Bank,8.25%
Yes Bank,Self-employed,725,723,CIBIL 700–749,10.15%,Central Bank of India,8.20%,HDFC Bank,8.30%,Kotak Mahindra Bank,8.35%
Yes Bank,Salaried,775,764,CIBIL 750–799,9.70%,Central Bank of India,7.80%,HDFC Bank,7.85%,Kotak Mahindra Bank,7.90%
Yes Bank,Self-employed,775,764,CIBIL 750–799,9.85%,Central Bank of India,7.90%,HDFC Bank,8.00%,Kotak Mahindra Bank,8.00%
Yes Bank,Salaried,825,832,CIBIL 800+,9.10%,Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
Yes Bank,Self-employed,825,832,CIBIL 800+,9.25%,Bank of India,7.20%,HDFC Bank,7.40%,Axis Bank,7.55%
Yes Bank,Salaried,850,850,CIBIL 800+,9.00%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
Yes Bank,Self-employed,850,850,CIBIL 800+,9.15%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
RBL Bank,Salaried,600,600,CIBIL 600–649,10.30%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
RBL Bank,Self-employed,600,600,CIBIL 600–649,10.45%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
RBL Bank,Salaried,625,610,CIBIL 600–649,10.30%,SBI,9.20%,HDFC Bank,9.25%,Axis Bank,9.40%
RBL Bank,Self-employed,625,610,CIBIL 600–649,10.45%,HDFC Bank,9.40%,SBI,9.40%,Axis Bank,9.55%
RBL Bank,Salaried,675,668,CIBIL below 700,9.65%,SBI,8.55%,HDFC Bank,8.60%,Axis Bank,8.75%
RBL Bank,Self-employed,675,668,CIBIL below 700,9.80%,HDFC Bank,8.75%,SBI,8.75%,Axis Bank,8.90%
RBL Bank,Salaried,725,723,CIBIL 700–749,9.20%,Central Bank of India,8.10%,HDFC Bank,8.15%,Kotak Mahindra Bank,8.25%
RBL Bank,Self-employed,725,723,CIBIL 700–749,9.35%,Central Bank of India,8.20%,HDFC Bank,8.30%,Kotak Mahindra Bank,8.35%
RBL Bank,Salaried,775,764,CIBIL 750–799,8.90%,Central Bank of India,7.80%,HDFC Bank,7.85%,Kotak Mahindra Bank,7.90%
RBL Bank,Self-employed,775,764,CIBIL 750–799,9.05%,Central Bank of India,7.90%,HDFC Bank,8.00%,Kotak Mahindra Bank,8.00%
RBL Bank,Salaried,825,832,CIBIL 800+,8.30%,Bank of India,7.20%,HDFC Bank,7.25%,Axis Bank,7.40%
RBL Bank,Self-employed,825,832,CIBIL 800+,8.45%,Bank of India,7.20%,HDFC Bank,7.40%,Axis Bank,7.55%
RBL Bank,Salaried,850,850,CIBIL 800+,8.20%,Bank of India,7.10%,HDFC Bank,7.15%,Axis Bank,7.30%
RBL Bank,Self-employed,850,850,CIBIL 800+,8.35%,Bank of India,7.10%,HDFC Bank,7.30%,Axis Bank,7.45%
AU Small Finance Bank,Salaried,600,600,CIBIL 600–649,10.60%,HDFC Bank,9.25%,Ujjivan SFB,11.10%,Equitas SFB,11.35%
AU Small Finance Bank,Self-employed,600,600,CIBIL 600–649,10.85%,HDFC Bank,9.40%,Ujjivan SFB,11.35%,Equitas SFB,11.60%
AU Small Finance Bank,Salaried,625,610,CIBIL 600–649,10.60%,HDFC Bank,9.25%,Ujjivan SFB,11.10%,Equitas SFB,11.35%
AU Small Finance Bank,Self-employed,625,610,CIBIL 600–649,10.85%,HDFC Bank,9.40%,Ujjivan SFB,11.35%,Equitas SFB,11.60%
AU Small Finance Bank,Salaried,675,668,CIBIL below 700,9.70%,HDFC Bank,8.60%,Ujjivan SFB,10.20%,Equitas SFB,10.45%
AU Small Finance Bank,Self-employed,675,668,CIBIL below 700,9.95%,HDFC Bank,8.75%,Ujjivan SFB,10.45%,Equitas SFB,10.70%
AU Small Finance Bank,Salaried,725,723,CIBIL 700–749,9.25%,HDFC Bank,8.15%,Ujjivan SFB,9.75%,Equitas SFB,10.00%
AU Small Finance Bank,Self-employed,725,723,CIBIL 700–749,9.50%,HDFC Bank,8.30%,Ujjivan SFB,10.00%,Equitas SFB,10.25%
AU Small Finance Bank,Salaried,775,764,CIBIL 750–799,8.95%,HDFC Bank,7.85%,Ujjivan SFB,9.45%,Equitas SFB,9.70%
AU Small Finance Bank,Self-employed,775,764,CIBIL 750–799,9.20%,HDFC Bank,8.00%,Ujjivan SFB,9.70%,Equitas SFB,9.95%
AU Small Finance Bank,Salaried,825,832,CIBIL 800+,8.35%,HDFC Bank,7.25%,Ujjivan SFB,8.85%,Equitas SFB,9.10%
AU Small Finance Bank,Self-employed,825,832,CIBIL 800+,8.60%,HDFC Bank,7.40%,Ujjivan SFB,9.10%,Equitas SFB,9.35%
AU Small Finance Bank,Salaried,850,850,CIBIL 800+,8.25%,HDFC Bank,7.15%,Ujjivan SFB,8.75%,Equitas SFB,9.00%
AU Small Finance Bank,Self-employed,850,850,CIBIL 800+,8.50%,HDFC Bank,7.30%,Ujjivan SFB,9.00%,Equitas SFB,9.25%
Ujjivan SFB,Salaried,600,600,CIBIL 600–649,11.10%,HDFC Bank,9.25%,AU Small Finance Bank,10.60%,Equitas SFB,11.35%
Ujjivan SFB,Self-employed,600,600,CIBIL 600–649,11.35%,HDFC Bank,9.40%,AU Small Finance Bank,10.85%,Equitas SFB,11.60%
Ujjivan SFB,Salaried,625,610,CIBIL 600–649,11.10%,HDFC Bank,9.25%,AU Small Finance Bank,10.60%,Equitas SFB,11.35%
Ujjivan SFB,Self-employed,625,610,CIBIL 600–649,11.35%,HDFC Bank,9.40%,AU Small Finance Bank,10.85%,Equitas SFB,11.60%
